Photo;Name;Comments
mlp-wave-11-fluttershy-blind-bag.jpg;Fluttershy;AA
mlp-wave-11-rainbow-dash-blind-bag.jpg;Rainbow Dash;AB
mlp-wave-11-sunset-shimmer-blind-bag.jpg;Sunset Shimmer;AC
mlp-wave-11-flash-sentry-blind-bag.jpg;Flash Sentry;AD
mlp-wave-11-candy-apples-blind-bag.jpg;Candy Apples;AE
mlp-wave-11-purple-wave-blind-bag.jpg;Purple Wave;AF
mlp-wave-11-spitfire-blind-bag.jpg;Spitfire;AG
mlp-wave-11-neon-lights-blind-bag.jpg;Neon Lights;AH
mlp-wave-11-buttonbelle-blind-bag.jpg;Buttonbelle;AI
mlp-wave-11-luckette-blind-bag.jpg;Luckette;AK
mlp-wave-11-cloudia-breezie-blind-bag.jpg;Cloudia Breezie;AL
mlp-wave-11-sunny-breezie-blind-bag.jpg;Sunny Breezie;AM
