Photo;Name;Comments
mlp-wave-11-pinkie-pie-blind-bag.jpg;Pinkie Pie;AN
mlp-wave-11-big-wig-blind-bag.jpg;Big Wig;AO
mlp-wave-11-helia-blind-bag.jpg;Helia;AP
mlp-wave-11-wensley-blind-bag.jpg;Wensley;AR
mlp-wave-11-cheese-sandwich-blind-bag.jpg;Cheese Sandwich;AS
mlp-wave-11-cloud-chaser-blind-bag.jpg;Cloud Chaser;AT
mlp-wave-11-pursey-pink-blind-bag.jpg;Pursey Pink;AU
mlp-wave-11-swanky-hank-blind-bag.jpg;Swanky Hank;AV
mlp-wave-11-lilac-hearts-blind-bag.jpg;Lilac Hearts;AW
mlp-wave-11-royal-pin-blind-bag.jpg;Royal Pin;AX
mlp-wave-11-ruby-splash-blind-bag.jpg;Ruby Splash;AY
mlp-wave-11-lilac-breezie-blind-bag.jpg;Lilac Breezie;AZ
